keyPressed,wordSaid,timeStamp
None,one,51500
None,two,51600
None,two,51700
None,two,51800
None,two,51900
None,two,52000
None,two,52100
None,two,52200
None,two,52300
None,two,52400
None,two,52500
None,one,52600
None,one,52700
None,one,52800
None,one,52900
None,one,53000
None,one,53100
None,one,53200
None,one,53300
None,one,53400
None,one,53500
None,two,53600
None,two,53700
None,two,53800
None,two,53900
None,two,54000
None,two,54100
None,two,54200
None,two,54300
None,two,54400
None,two,54500
None,two,54600
None,one,54700
None,one,54800
None,one,54900
None,one,55000
None,one,55100
None,one,55200
None,one,55300
None,one,55400
None,one,55500
None,one,55600
None,two,55700
None,two,55800
None,two,55900
None,two,56000
None,two,56100
None,two,56200
None,two,56300
None,two,56400
None,two,56500
None,two,56600
None,one,56700
None,one,56800
None,one,56900
None,one,57000
None,one,57100
None,one,57200
None,one,57300
None,one,57400
None,one,57500
None,one,57600
None,two,57700
None,two,57800
None,two,57900
None,two,58000
None,two,58100
None,two,58200
None,two,58300
None,two,58400
None,two,58500
None,two,58600
None,two,58700
None,one,58800
None,one,58900
None,one,59000
None,one,59100
None,one,59200
None,one,59300
None,one,59400
None,one,59500
None,one,59600
None,one,59700
None,two,59800
None,two,59900
None,two,60000
None,two,60100
None,two,60200
None,two,60300
None,two,60400
None,two,60500
None,two,60600
None,two,60700
None,one,60800
None,one,60900
None,one,61000
None,one,61100
None,one,61200
None,one,61300
None,one,61400
None,one,61500
None,one,61600
None,one,61700
None,two,61800
None,two,61900
None,two,62000
None,two,62100
None,two,62200
None,two,62300
None,two,62400
None,two,62500
None,two,62600
None,two,62700
None,one,62800
None,one,62900
None,one,63000
None,one,63100
None,one,63200
None,one,63300
None,one,63400
None,one,63500
None,one,63600
None,one,63700
None,two,63800
None,two,63900
None,two,64000
None,two,64100
None,two,64200
None,two,64300
None,two,64400
None,two,64500
None,two,64600
None,two,64700
None,two,64800
None,one,64900
None,one,65000
None,one,65100
None,one,65200
None,one,65300
None,one,65400
None,one,65500
None,one,65600
None,one,65700
None,one,65800
None,two,65900
None,two,66000
None,two,66100
None,two,66200
None,two,66300
None,two,66400
None,two,66500
None,two,66600
None,two,66700
None,two,66800
None,one,66900
None,one,67000
None,one,67100
None,one,67200
None,one,67300
None,one,67400
None,one,67500
None,one,67600
None,one,67700
None,one,67800
None,two,67900
None,two,68000
None,two,68100
None,two,68200
None,two,68300
None,two,68400
None,two,68500
None,two,68600
None,two,68700
None,two,68800
None,two,68900
None,one,69000
None,one,69100
None,one,69200
None,one,69300
None,one,69400
None,one,69500
None,one,69600
None,one,69700
None,one,69800
None,one,69900
None,two,70000
None,two,70100
None,two,70200
None,two,70300
None,two,70400
None,two,70500
None,two,70600
None,two,70700
None,two,70800
None,two,70900
None,one,71000
None,one,71100
None,one,71200
None,one,71300
None,one,71400
None,one,71500
None,one,71600
None,one,71700
None,one,71800
None,one,71900
None,two,72000
None,two,72100
None,two,72200
None,two,72300
None,two,72400
None,two,72500
None,two,72600
None,two,72700
None,two,72800
None,two,72900
None,two,73000
None,one,73100
None,one,73200
None,one,73300
None,one,73400
None,one,73500
None,one,73600
None,one,73700
None,one,73800
None,one,73900
None,one,74000
None,two,74100
None,two,74200
None,two,74300
None,two,74400
None,two,74500
None,two,74600
None,two,74700
None,two,74800
None,two,74900
None,two,75000
None,one,75100
None,one,75200
None,one,75300
None,one,75400
None,one,75500
None,one,75600
None,one,75700
None,one,75800
None,one,75900
None,one,76000
None,two,76100
None,two,76200
None,two,76300
None,two,76400
None,two,76500
None,two,76600
None,two,76700
None,two,76800
None,two,76900
None,two,77000
None,two,77100
None,one,77200
None,one,77300
None,one,77400
None,one,77500
None,one,77600
None,one,77700
None,one,77800
None,one,77900
None,one,78000
None,one,78100
None,two,78200
None,two,78300
None,two,78400
None,two,78500
None,two,78600
None,two,78700
None,two,78800
None,two,78900
None,two,79000
None,two,79100
None,one,79200
None,one,79300
None,one,79400
None,one,79500
None,one,79600
None,one,79700
None,one,79800
None,one,79900
None,one,80000
None,one,80100
None,two,80200
None,two,80300
None,two,80400
None,two,80500
None,two,80600
None,two,80700
None,two,80800
None,two,80900
None,two,81000
None,two,81100
None,two,81200
None,one,81300
None,one,81400
None,one,81500
None,one,81600
None,one,81700
None,one,81800
None,one,81900
None,one,82000
None,one,82100
None,one,82200
None,two,82300
None,two,82400
None,two,82500
None,two,82600
None,two,82700
None,two,82800
None,two,82900
None,two,83000
None,two,83100
None,two,83200
None,one,83300
None,one,83400
None,one,83500
None,one,83600
None,one,83700
None,one,83800
None,one,83900
None,one,84000
None,one,84100
None,one,84200
None,one,84300
None,two,84400
None,two,84500
None,two,84600
None,two,84700
None,two,84800
None,two,84900
None,two,85000
None,two,85100
None,two,85200
None,two,85300
None,one,85400
None,one,85500
None,one,85600
None,one,85700
None,one,85800
None,one,85900
None,one,86000
None,one,86100
None,one,86200
None,one,86300
None,two,86400
None,two,86500
None,two,86600
None,two,86700
None,two,86800
None,two,86900
None,two,87000
None,two,87100
None,two,87200
None,two,87300
None,one,87400
None,one,87500
None,one,87600
None,one,87700
None,one,87800
None,one,87900
None,one,88000
None,one,88100
None,one,88200
None,one,88300
None,two,88400
None,two,88500
None,two,88600
None,two,88700
None,two,88800
None,two,88900
None,two,89000
None,two,89100
None,two,89200
None,two,89300
None,one,89400
None,one,89500
None,one,89600
None,one,89700
None,one,89800
None,one,89900
None,one,90000
None,one,90100
None,one,90200
None,one,90300
None,one,90400
None,two,90500
None,two,90600
None,two,90700
None,two,90800
None,two,90900
None,two,91000
None,two,91100
None,two,91200
None,two,91300
None,two,91400
None,one,91500
None,one,91600
None,one,91700
None,one,91800
None,one,91900
None,one,92000
None,one,92100
None,one,92200
None,one,92300
None,one,92400
None,two,92500
None,two,92600
None,two,92700
None,two,92800
None,two,92900
None,two,93000
None,two,93100
None,two,93200
None,two,93300
None,two,93400
None,one,93500
None,one,93600
None,one,93700
None,one,93800
None,one,93900
None,one,94000
None,one,94100
None,one,94200
None,one,94300
None,one,94400
None,two,94500
None,two,94600
None,two,94700
None,two,94800
None,two,94900
None,two,95000
None,two,95100
None,two,95200
None,two,95300
None,two,95400
None,two,95500
None,one,95600
None,one,95700
None,one,95800
None,one,95900
None,one,96000
None,one,96100
None,one,96200
None,one,96300
None,one,96400
None,one,96500
None,two,96600
None,two,96700
None,two,96800
None,two,96900
None,two,97000
None,two,97100
None,two,97200
None,two,97300
None,two,97400
None,two,97500
None,one,97600
None,one,97700
None,one,97800
None,one,97900
None,one,98000
None,one,98100
None,one,98200
None,one,98300
None,one,98400
None,one,98500
None,two,98600
None,two,98700
None,two,98800
None,two,98900
None,two,99000
None,two,99100
None,two,99200
None,two,99300
None,two,99400
None,two,99500
None,one,99600
None,one,99700
None,one,99800
None,one,99900
None,one,100000
None,one,100100
None,one,100200
None,one,100300
None,one,100400
None,one,100500
None,one,100600
None,two,100700
None,two,100800
None,two,100900
None,two,101000
None,two,101100
None,two,101200
None,two,101300
None,two,101400
None,two,101500
None,two,101600
None,one,101700
None,one,101800
None,one,101900
None,one,102000
None,one,102100
None,one,102200
None,one,102300
None,one,102400
None,one,102500
None,one,102600
None,two,102700
None,two,102800
None,two,102900
None,two,103000
None,two,103100
None,two,103200
None,two,103300
None,two,103400
None,two,103500
None,two,103600
None,one,103700
None,one,103800
None,one,103900
None,one,104000
None,one,104100
None,one,104200
None,one,104300
None,one,104400
None,one,104500
None,one,104600
None,one,104700
None,two,104800
None,two,104900
None,two,105000
None,two,105100
None,two,105200
None,two,105300
None,two,105400
None,two,105500
None,two,105600
None,two,105700
None,one,105800
None,one,105900
None,one,106000
None,one,106100
None,one,106200
None,one,106300
None,one,106400
None,one,106500
None,one,106600
None,one,106700
None,two,106800
None,two,106900
None,two,107000
None,two,107100
None,two,107200
None,two,107300
None,two,107400
None,two,107500
None,two,107600
None,two,107700
None,two,107800
None,one,107900
None,one,108000
None,one,108100
None,one,108200
None,one,108300
None,one,108400
None,one,108500
None,one,108600
None,one,108700
None,one,108800
None,two,108900
None,two,109000
None,two,109100
None,two,109200
None,two,109300
None,two,109400
None,two,109500
None,two,109600
None,two,109700
None,two,109800
None,one,109900
None,one,110000
None,one,110100
None,one,110200
None,one,110300
None,one,110400
None,one,110500
None,one,110600
None,one,110700
None,one,110800
None,two,110900
None,two,111000
None,two,111100
None,two,111200
None,two,111300
None,two,111400
None,two,111500
None,two,111600
None,two,111700
None,two,111800
None,two,111900
None,one,112000
None,one,112100
None,one,112200
None,one,112300
None,one,112400
None,one,112500
None,one,112600
None,one,112700
None,one,112800
None,one,112900
None,two,113000
None,two,113100
None,two,113200
None,two,113300
None,two,113400
None,two,113500
None,two,113600
None,two,113700
None,two,113800
None,two,113900
None,one,114000
None,one,114100
None,one,114200
None,one,114300
None,one,114400
None,one,114500
None,one,114600
None,one,114700
None,one,114800
None,one,114900
None,two,115000
None,two,115100
None,two,115200
None,two,115300
None,two,115400
None,two,115500
None,two,115600
None,two,115700
None,two,115800
None,two,115900
None,two,116000
None,one,116100
None,one,116200
None,one,116300
None,one,116400
None,one,116500
None,one,116600
None,one,116700
None,one,116800
None,one,116900
None,one,117000
None,two,117100
None,two,117200
None,two,117300
None,two,117400
None,two,117500
None,two,117600
None,two,117700
None,two,117800
None,two,117900
None,two,118000
None,one,118100
None,one,118200
None,one,118300
None,one,118400
None,one,118500
None,one,118600
None,one,118700
None,one,118800
None,one,118900
None,one,119000
None,two,119100
None,two,119200
None,two,119300
None,two,119400
None,two,119500
None,two,119600
None,two,119700
None,two,119800
None,two,119900
None,two,120000
None,two,120100
None,one,120200
None,one,120300
None,one,120400
None,one,120500
None,one,120600
None,one,120700
None,one,120800
None,one,120900
None,one,121000
None,one,121100
None,two,121200
None,two,121300
None,two,121400
None,two,121500
None,two,121600
None,two,121700
None,two,121800
None,two,121900
None,two,122000
None,two,122100
None,one,122200
None,one,122300
None,one,122400
None,one,122500
None,one,122600
None,one,122700
None,one,122800
None,one,122900
None,one,123000
None,one,123100
None,two,123200
None,two,123300
None,two,123400
None,two,123500
None,two,123600
None,two,123700
None,two,123800
None,two,123900
None,two,124000
None,two,124100
None,one,124200
None,one,124300
None,one,124400
None,one,124500
None,one,124600
None,one,124700
None,one,124800
None,one,124900
None,one,125000
None,one,125100
None,two,125200
None,two,125300
None,two,125400
None,two,125500
None,two,125600
None,two,125700
None,two,125800
None,two,125900
None,two,126000
None,two,126100
None,two,126200
None,one,126300
None,one,126400
None,one,126500
None,one,126600
None,one,126700
None,one,126800
None,one,126900
None,one,127000
None,one,127100
None,one,127200
None,two,127300
None,two,127400
None,two,127500
None,two,127600
None,two,127700
None,two,127800
None,two,127900
None,two,128000
None,two,128100
None,two,128200
None,one,128300
None,one,128400
None,one,128500
None,one,128600
None,one,128700
None,one,128800
None,one,128900
None,one,129000
None,one,129100
None,one,129200
None,one,129300
None,two,129400
None,two,129500
None,two,129600
None,two,129700
None,two,129800
None,two,129900
None,two,130000
None,two,130100
None,two,130200
None,two,130300
None,one,130400
None,one,130500
None,one,130600
None,one,130700
None,one,130800
None,one,130900
None,one,131000
None,one,131100
None,one,131200
None,one,131300
None,two,131400
None,two,131500
None,two,131600
None,two,131700
None,two,131800
None,two,131900
None,two,132000
None,two,132100
None,two,132200
None,two,132300
None,two,132400
None,one,132500
None,one,132600
None,one,132700
None,one,132800
None,one,132900
None,one,133000
None,one,133100
None,one,133200
None,one,133300
None,one,133400
None,two,133500
None,two,133600
None,two,133700
None,two,133800
None,two,133900
None,two,134000
None,two,134100
None,two,134200
None,two,134300
None,two,134400
None,one,134500
None,one,134600
None,one,134700
None,one,134800
None,one,134900
None,one,135000
None,one,135100
None,one,135200
None,one,135300
None,one,135400
None,two,135500
None,two,135600
None,two,135700
None,two,135800
None,two,135900
None,two,136000
None,two,136100
None,two,136200
None,two,136300
None,two,136400
None,one,136500
None,one,136600
None,one,136700
None,one,136800
None,one,136900
None,one,137000
None,one,137100
None,one,137200
None,one,137300
None,one,137400
None,one,137500
None,two,137600
None,two,137700
None,two,137800
None,two,137900
None,two,138000
None,two,138100
None,two,138200
None,two,138300
None,two,138400
None,two,138500
None,one,138600
None,one,138700
None,one,138800
None,one,138900
None,one,139000
None,one,139100
None,one,139200
None,one,139300
None,one,139400
None,one,139500
None,two,139600
None,two,139700
None,two,139800
None,two,139900
None,two,140000
None,two,140100
None,two,140200
None,two,140300
None,two,140400
None,two,140500
None,one,140600
None,one,140700
None,one,140800
None,one,140900
None,one,141000
None,one,141100
None,one,141200
None,one,141300
None,one,141400
None,one,141500
None,one,141600
None,two,141700
None,two,141800
None,two,141900
None,two,142000
None,two,142100
None,two,142200
None,two,142300
None,two,142400
None,two,142500
None,two,142600
None,one,142700
None,one,142800
None,one,142900
None,one,143000
None,one,143100
None,one,143200
None,one,143300
None,one,143400
None,one,143500
None,one,143600
None,two,143700
None,two,143800
None,two,143900
None,two,144000
None,two,144100
None,two,144200
None,two,144300
None,two,144400
None,two,144500
None,two,144600
None,one,144700
None,one,144800
None,one,144900
None,one,145000
None,one,145100
None,one,145200
None,one,145300
None,one,145400
None,one,145500
None,one,145600
None,two,145700
None,two,145800
None,two,145900
None,two,146000
None,two,146100
None,two,146200
None,two,146300
None,two,146400
None,two,146500
None,two,146600
None,two,146700
None,one,146800
None,one,146900
None,one,147000
None,one,147100
None,one,147200
None,one,147300
None,one,147400
None,one,147500
None,one,147600
None,one,147700
None,two,147800
None,two,147900
None,two,148000
